iter	Passed	Remaining
928	1572	120
929	1573	118
930	1575	116
931	1576	115
932	1577	113
933	1579	111
934	1580	109
935	1581	108
936	1583	106
937	1584	104
938	1585	103
939	1587	101
940	1589	99
941	1590	97
942	1591	96
943	1593	94
944	1594	92
945	1597	91
946	1598	89
947	1600	87
948	1601	86
949	1603	84
950	1604	82
951	1606	81
952	1608	79
953	1609	77
954	1611	75
955	1612	74
956	1613	72
957	1615	70
958	1616	69
959	1618	67
960	1619	65
961	1621	64
962	1623	62
963	1625	60
964	1626	58
965	1627	57
966	1629	55
967	1630	53
968	1631	52
969	1633	50
970	1634	48
971	1636	47
972	1637	45
973	1638	43
974	1640	42
975	1641	40
976	1643	38
977	1644	36
978	1645	35
979	1647	33
980	1649	31
981	1650	30
982	1652	28
983	1653	26
984	1655	25
985	1656	23
986	1657	21
987	1659	20
988	1661	18
989	1662	16
990	1663	15
991	1665	13
992	1666	11
993	1668	10
994	1669	8
995	1670	6
996	1671	5
997	1673	3
998	1674	1
999	1676	0
